Module,Feature,Sub-Feature,Description,Component Type,Technology / Tools,Design Approach,APIs / Endpoints,Data Stores,Dependencies,Security,Performance,Deployment
Gen AI Solution build - Batch Ingestion Process,Document Upload & Parsing,"File ingestion, format detection, content extraction","Ingest enterprise documents (PDF, Word, CSV, HTML, TXT); detect file type, scan for viruses, parse content, and extract raw text for downstream processing",Microservice,"Python, Apache Tika / PyMuPDF / Unstructured.io, Azure Blob SDK, python-docx, pandas","ETL pipeline pattern; file type detection → virus scanning → parsing → metadata extraction → staging; async processing via message queue","POST /api/genai/rag/ingest (single file); POST /api/genai/rag/ingest/batch (bulk); GET /api/genai/rag/ingest/status/{jobId}","Azure Blob Storage (raw documents), PostgreSQL (ingestion job metadata, status tracking)","Blob Storage, Document Chunking Service, message queue (Azure Service Bus / RabbitMQ)","Virus scanning on upload (ClamAV / Azure Defender); file type allowlist (PDF, DOCX, CSV, TXT, HTML, MD); max file size 50MB; PII detection pre-processing","Async processing via worker queue; batch supports up to 100 files; target < 30s per document; horizontal scaling of workers","Kubernetes with separate worker deployment; Azure Service Bus for job queue; auto-scaling workers based on queue depth"
Gen AI Solution build - Batch Ingestion Process,Metadata Extraction,"Title, author, date, source, classification tagging","Extract and store document metadata (title, author, date, source system, classification, tags) during ingestion for downstream filtering and access control",Processing Module,"Python, custom extractors, Apache Tika metadata API","Decorator pattern; metadata extractors registered per file type; custom extractors for enterprise-specific metadata (department, project, confidentiality level)",Internal — called by Document Upload & Parsing service,"PostgreSQL (document_metadata: doc_id, title, author, source, created_date, classification, tags)","Document Upload & Parsing service, enterprise classification systems","Metadata validated against schema; classification levels enforced (Public, Internal, Confidential, Restricted)","Lightweight processing; < 1s per document; metadata cached for frequent lookups",Co-deployed with Document Upload & Parsing service
Gen AI Solution build - Batch Ingestion Process,Document Chunking,"Text splitting, overlap, strategy selection","Split parsed documents into optimally-sized chunks for embedding; support multiple strategies based on document type (recursive character, semantic, sentence-window)",Processing Service,"LangChain Text Splitters, NLTK, tiktoken, custom chunking logic","Strategy pattern; recursive character splitting (default), semantic chunking (for long-form), sentence-window (for Q&A); configurable chunk size (512-1024 tokens) and overlap (50-100 tokens)",Internal service call from Ingestion pipeline,"PostgreSQL (chunk_metadata: chunk_id, source_doc_id, position, chunk_size, overlap, strategy_used)","Document Upload & Parsing service, tokenizer (tiktoken for OpenAI models)","Inherits document-level access controls; PII tagging per chunk; chunk provenance tracking (traceable to source page/section)","Target < 5s per document; batch processing for large docs; chunk size optimized per embedding model (ada-002: 512 tokens)","Co-deployed with Ingestion pipeline; stateless — scales with ingestion workers"
Gen AI Solution build - Batch Ingestion Process,Chunk Enrichment,"Context headers, summaries, hypothetical questions","Enrich chunks with contextual headers, section titles, and parent-document summary for improved retrieval quality; generate hypothetical questions per chunk (HyDE-lite)",Processing Module,"Python, LangChain, LLM Integration Layer","Contextual retrieval pattern; prepend section title + document summary to each chunk; generate hypothetical questions for better semantic matching",Internal — called after Document Chunking,"PostgreSQL (enriched_chunk_metadata: context_header, parent_summary_ref, hypothetical_questions)","Document Chunking service, LLM Integration Layer (for summary generation)","No additional PII risk — enrichment derived from existing content; enrichment content reviewed by guardrails","LLM call for summary amortized across chunks (1 per doc); < 2s per chunk enrichment","Co-deployed with Chunking service; optional — toggled via feature flag"
Gen AI Solution build - Batch Ingestion Process,Vector Embedding Generation,"Batch embedding of chunks, model versioning","Generate vector embeddings for all document chunks in batch mode; write embeddings with metadata to vector database; support embedding model versioning for re-indexing",Microservice,"Azure OpenAI text-embedding-ada-002 / text-embedding-3-small, Cohere Embed v3, sentence-transformers","Batch embedding (up to 2048 inputs per API call); embedding model versioning — track which model generated each embedding; re-indexing pipeline for model upgrades","POST /api/genai/rag/embed/batch (internal); POST /api/genai/rag/reindex (admin); GET /api/genai/rag/index/status",Writes embeddings to Vector Database; PostgreSQL (model_version registry),"LLM Provider embedding endpoint, Document Chunking service","API key management via Azure Key Vault; rate limiting within token quotas (150K tokens/min for ada-002); no raw text stored in embedding service","Batch target < 10s for 100 chunks; adaptive batching based on chunk sizes; re-indexing: background job < 1 hour for 100K chunks","Kubernetes; auto-scaling based on embedding queue depth; separate deployment to isolate embedding workload"
Gen AI Solution build - Batch Ingestion Process,Vector Database — Index Management,"HNSW indexing, metadata schema, index lifecycle","Store and manage document embeddings with metadata for semantic search; configure HNSW indexing; manage index lifecycle (create, update, delete, version swap)",Data Store,"Azure AI Search / Pinecone / pgvector (PostgreSQL extension)","Index per document collection; HNSW algorithm (ef_construction=400, M=16); metadata fields for filtering (source_doc, access_level, tags, timestamp); blue-green index swap for re-indexing","Internal SDK calls — upsert(vectors, metadata), delete(filter); POST /api/genai/rag/index/create (admin)","Vector index with metadata: source_doc_id, chunk_id, timestamp, access_level, tags, embedding_model_version","Embedding Service (writes vectors), Retrieval Service (reads vectors)","Encryption at rest (AES-256); encryption in transit (TLS 1.2+); network isolation via Private Endpoint; index-level access control; metadata-based row-level filtering","Query latency target < 50ms for top-20 results; index size monitoring with alerts at 80% capacity","Managed service (Azure AI Search) or self-hosted (pgvector on Azure PostgreSQL Flexible Server); automated backups; health monitoring"
Gen AI Solution build - Batch Ingestion Process,Vector Database — Hybrid Search Config,"Vector + BM25 fusion, weight tuning","Configure hybrid search combining vector cosine similarity with keyword BM25 search; tune fusion weights for optimal retrieval quality",Configuration,"Azure AI Search Semantic Ranking, custom Reciprocal Rank Fusion (RRF) scorer","RRF to merge vector and keyword results; configurable weights (default: 0.7 vector + 0.3 keyword); optional semantic re-ranking as third stage",Internal — configured at index level,"Vector index (same as above), BM25 inverted index (built-in to Azure AI Search / PostgreSQL full-text search)",Vector Database index,"Search configuration restricted to admin role; query logs retained for search quality analysis","Hybrid search adds < 20ms latency vs. vector-only; RRF merge is O(n) on result set size","Config via admin API or infrastructure-as-code (Terraform/Bicep)"
Gen AI Solution build - Batch Ingestion Process,Ingestion Pipeline Orchestration,"End-to-end pipeline, job tracking, error handling","Orchestrate the full batch ingestion pipeline: upload → parse → chunk → enrich → embed → index; track job status; handle partial failures with retry",Orchestrator,"Python, Azure Durable Functions / Celery / Apache Airflow","Saga pattern for distributed pipeline; each stage is idempotent; failed stages retried independently; job status tracked in PostgreSQL; dead letter queue for permanently failed documents","GET /api/genai/rag/pipeline/status/{jobId}; POST /api/genai/rag/pipeline/retry/{jobId} (admin)","PostgreSQL (pipeline_jobs: job_id, status, stage, documents_total, documents_processed, errors[], started_at, completed_at)","All Batch Ingestion sub-components, message queue (Azure Service Bus)","Pipeline logs audited; failed documents quarantined for manual review; admin-only access to retry/reprocess","End-to-end: < 2 min per document (including embedding); batch of 100 docs: < 30 min; parallel processing across workers","Azure Durable Functions or Celery on Kubernetes; workers auto-scale based on queue depth; dashboard for pipeline health"
Gen AI Solution build - Discoverability solution,Query Preprocessing,"Query expansion, decomposition, reformulation","Preprocess user queries before retrieval — expand with alternative phrasings, decompose complex questions into sub-queries, and apply HyDE (Hypothetical Document Embeddings) for abstract queries",Processing Module,"Python, LangChain, LLM Integration Layer","Query expansion via LLM (generate 2-3 alternative phrasings); query decomposition for multi-part questions; HyDE for vague/abstract queries; original query preserved for audit",Internal — called before Semantic Search,None (stateless),"LLM Integration Layer (for expansion/HyDE), Embedding Service","No user PII in expanded queries; original query preserved for audit trail","LLM call for expansion adds ~500ms; cached expansions for repeated patterns; can be disabled for low-latency mode","Co-deployed with Retrieval Service; feature flag to enable/disable per use case"
Gen AI Solution build - Discoverability solution,Semantic Search & Ranking,"Vector retrieval, re-ranking, MMR diversity","Retrieve relevant document chunks via semantic similarity search over vector database; apply multi-stage re-ranking for precision and diversity",Microservice,"LangChain Retrievers, Cohere Rerank / cross-encoder re-ranker, custom retrieval logic","Multi-stage: Stage 1 — vector similarity (top-50 candidates) → Stage 2 — re-ranking via cross-encoder (top-10) → Stage 3 — MMR (Maximal Marginal Relevance) for diversity","POST /api/genai/rag/query; POST /api/genai/rag/search","Reads from Vector Database; Redis (query result cache)","Vector Database, Embedding Service (query embedding), Re-ranking model (Cohere Rerank API / local cross-encoder)","User-scoped retrieval — only documents matching user's access_level returned; query content not logged in plain text","Stage 1: < 50ms; Stage 2 (re-rank): < 200ms; Stage 3 (MMR): < 10ms; total < 300ms for top-10","Kubernetes; stateless; horizontal scaling; Redis sidecar for query caching"
