ID,Lane,Item,Client Ask,Our Response,Decision/Action,Owner,Status,Reference
AI-1,Intake,Composer / Dataproc vs Cloud Run,"Assess Composer and Dataproc for ingest capability instead of Cloud Run.","Accepted. Cloud Run Job + Cloud Scheduler will be replaced by Cloud Composer (Airflow DAG) running weekly. Dataproc not needed — corpus is ~1.3k pages and the workload is HTTP fetch + Markdown render, not Spark. Composer DAG also handles the new Phase-1 image-extraction step (AR-2/3/4 promoted to P1).",Replace ingest tile in HLD with Cloud Composer; create DAG `confluence_weekly_ingest` (tasks: fetch_changed_pages → extract_text → extract_images → upload_gcs → trigger_vais_reindex).,Mradal Tiwari,IN PROGRESS,"GAP_HLD_v2 (2).drawio Ingest lane; transcript 12:54–13:33, 23:09–25:21"
AI-2,Intake,Service account for Confluence,"Will need to name the requested service account and permissions scoped to Confluence project — read-only API access.","Service account name: `sa-composer-ingest@<gap-genai-prj>.iam.gserviceaccount.com`. Permissions: read-only PAT for the Atlassian Confluence ""Test & Learn COE / Test Results"" space only. PAT stored in Secret Manager (`projects/<prj>/secrets/confluence-readonly-pat`). GCP roles on the SA: `roles/secretmanager.secretAccessor` (PAT secret), `roles/storage.objectAdmin` (corpus-html bucket), `roles/composer.worker`. No Active Directory SA — GCP-native per Joe.",Provision SA via IM team (Lonnie Frey identified). Document scope in PSEC ticket. PAT issued only after PSEC approval.,Nilim Borah,OPEN,"transcript 11:13–12:43; PSEC/Vendor_Access.md"
AI-3,Query,Agent Engine for ADK Agent,"Assess Agent Engine for the ADK Agent component. Not accepting Cloud Run agents at this time.","Accepted. ADK Discovery Agent moves from Cloud Run to Vertex AI Agent Engine (managed). Agent will be registered in Agent Registry. Web App stays on Cloud Run (web service only). Substory will be raised for Agent Engine API enablement.",Update HLD + SA drawios (Agent Engine icon). Backend lead reviews ADK API endpoint customization for Agent Engine deployment (was AR-8).,Ashiq KS,IN PROGRESS,"transcript 26:54–29:25"
AI-4,Query,Model Garden — model list,"Provide list of requested models so we can verify they are in Model Garden policy.","Requested stable Vertex AI Model Garden models (verified against ai.google.dev as of 2026-06-09): (1) `gemini-3.5-flash` — primary inference (stable, frontier-class agentic + reasoning); (2) `gemini-2.5-pro` — complex narrative / synthesis fallback (stable); (3) `gemini-embedding-2` — multimodal embedding for text + images, required for Phase-1 image grounding. Optional: `gemini-2.5-flash-lite` for cheap rewrite tasks. No fine-tuning, no custom-trained models, no machine-learning models registered.",Submit list to Joe / Avi for Model Garden policy check before substory.,Ashiq KS,OPEN,"transcript 21:47–24:00; ai.google.dev/gemini-api/docs/models"
AI-5,Query,BigQuery MCP / data access,"BigQuery MCP still in review and not yet approved. More security infrastructure required. For now use direct SQL or Cloud SQL — link the version you want reviewed.","BigQuery MCP dropped from architecture. Replacing the entire `gap_genai_app` warehouse with **AlloyDB Postgres** (already PSEC-approved per Joe). Tables (`experiments`, `experiment_clusters`, `feedback`, `golden_evals`, `eval_runs`, `app_config.*`) port to Postgres schema. Agent connects via AlloyDB AuthProxy with **IAM database authentication** so the user's OBO identity flows through to row-level access. Impact: ~1 week of schema + connector migration; ADK Postgres toolset replaces planned BQ toolset; OBO is simpler than with BQ; cost slightly higher but negligible at this scale. Cloud SQL not requested.","Provision AlloyDB cluster `gap-genai-app-alloydb` (Standard, regional, zonal min config). Update agent skill `query_experiment_kpis` to use AlloyDB connector. BigQuery removed from app side; telemetry still goes to Cloud Observability (not BQ).",Ashiq KS,IN PROGRESS,"transcript 18:30–21:46, 27:11–27:55"
AI-6,Query,User group + roles,"Identify user group used to validate access to the Cloud Run Web App. Same role or multiple roles in the web app?","Single role for Phase 1 — ""Knowledge Discovery User"" (read-only chat + feedback). Proposed Workspace group `gap-genai-knowledge-discovery-users@gap.com` (final DN to be confirmed by IAM team). No admin / power-user role in P1; future analyst role parked for Phase 2.",IAM team to provision the Workspace group; Web App enforces membership at sign-in. Add group OID to IAM allow-list on the Cloud Run service.,Nilim Borah,OPEN,"transcript 33:13–34:22; HLD § Identity"
AI-7,Query,On-Behalf-Of authentication,"Same user group will be used for On-Behalf-Of auth to the Agent and data. Review ADK documentation for OBO implementation.","Accepted. End-to-end OBO chain: Workspace IdP (SSO/OIDC) → Web App validates ID token → Web App exchanges for an OBO token → Agent Engine inherits the user identity → AlloyDB query authorised via IAM database authentication on the same identity → Vertex AI Search receives `userPseudoId` derived from the user's email hash. No service-account impersonation for user-initiated requests.",Implement OBO per ADK docs (`Authenticated User identity` + token-exchange grant). Add D5 STRIDE entry for token-replay mitigation. Configure AlloyDB IAM DB auth on `db_user_genai_reader`.,Ashiq KS,IN PROGRESS,"transcript 26:54–29:25; arch-meeting/D5_STRIDE/D5_STRIDE.md"
AI-8,CI/CD,Cloud Build replacement,"Cloud Build is not approved. Use the DevSecOps MPT-ship golden path (GitHub Actions → Artifact Registry). Provide GitHub repo reference for image build, web app, agent, and any CI/CD-driven GCP configuration.","Accepted. Cloud Build removed. CI/CD will use GitHub Actions following the GAP DevSecOps ""golden path"" (same flow already used for Azure container pushes, retargeted at GCP Artifact Registry). All four components (Web App image, Agent Engine bundle, Composer DAG, AlloyDB schema migrations) build from a single mono-repo. Repo URL: TBD — to be confirmed with PMO; placeholder `github.com/gap-inc/genai-knowledge-discovery`.","Awaiting DevSecOps documentation reference from Joe. Once received: scaffold `.github/workflows/{webapp,agent,ingest,db-migrate}.yml` using the golden path templates. Configure Workload Identity Federation between GitHub and GCP — no long-lived SA keys.",Athul Babu,OPEN,"transcript 29:39–30:36"
AI-9,Observe,GAP standard OTel,"Confirm we are following GAP standard OTEL platform.","Confirmed. All Cloud Run services and the Composer DAG export logs/traces/metrics via OpenTelemetry SDK to Cloud Logging + Cloud Monitoring + Cloud Trace (the GAP-blessed pipeline). No alternate observability suite. Joe accepted on the call.","No change beyond what's already in HLD § Observability. Document the OTel attribute set (`llm_tokens_in/out`, `model_id`, `skill_name`, `user_pseudo_id`) in the runbook.",Ashiq KS,DONE,"transcript 30:48–32:38; High_Level_Design.md AR-5/AR-6"
AI-10,Observe,Vertex AI Evaluation Service detail,"Explain Vertex AI Evaluation in more detail and provide reference links.","Vertex AI Gen AI Evaluation Service runs offline quality evaluations against a curated golden set (~100 Q&A pairs sampled from real Confluence content). Weekly Cloud Scheduler triggers a job that calls `gemini_eval` with metrics: faithfulness, answer-relevance, context-precision, citation-coverage, plus pairwise comparisons against the previous week. Results land in AlloyDB `eval_runs`. Used for regression detection only — never gates production traffic. Reference docs: https://cloud.google.com/vertex-ai/generative-ai/docs/models/evaluation-overview ; https://cloud.google.com/vertex-ai/generative-ai/docs/models/online-pairwise-evaluation.","Add reference links to HLD § Eval. Schedule first golden-set run after AlloyDB cutover.",Ashiq KS,IN PROGRESS,"transcript 25:30–25:50; tests/eval/"
