Analytics User Interview  Experimentation Report Dicoverability (ERD)-20260513_093202-Meeting Recording
May 13, 2026, 4:32PM
38m 17s
Athul Babu started transcription
Kaushik B   0:03His voice breaking up a little.
Sowmiya S   0:05Is that cooking?
Athul Babu   0:07I think it's fine from my end, and I'm also recording the session, guys.
Kaushik B   0:11OK, sure. Sorry, I think I heard some disruption. Sorry, go on, so, bye bye.
Prateek Oberoi   0:13Yeah.
Sowmiya S   0:15OK, cool. So I was just telling this today, the major part we'll be focusing on is this user interview for the scene is endless persona that we have. So we just wanted to annotate the key use cases, you know, identifying the friction points that you have in the current workflow before actually jumping into the solution part.
Prateek Oberoi   0:25Okay.Okay.
Sowmiya S   0:36So, uh, moving next with...Yeah, so with the workflow that you have given us in the previous sessions, we were able to put up this persona. Again, this is our view of, you know, what our senior analyst is responsible for, whatever the flexion points that he has in the current workflow. So I'm just taking you through the...
Kaushik B   0:41Ops.
Sowmiya S   1:01Sigma POV that we have, just give me one second.
Prateek Oberoi   1:05Mhm.
Kaushik B   1:09But before that, like...Sowmiya, like, let's just take a moment for Pratik to consume this. No, so Pratik, you know, the objective is to just, like, like Sowmiya said, in the last two calls, we aligned on what is the workflow overall, and then we were able to identify what are the personas, right, because based on the information you give, now we have identified 3.
Sowmiya S   1:12Jha.Okay, go ahead.
Prateek Oberoi   1:25Mm.
Kaushik B   1:31The first one we want to pick is the senior analyst, which we are not sure if it's actually senior analyst, but we are referring to your persona in this entire process, essentially. As an analytics manager or as a senior data scientist, whatever responsibilities you're fulfilling within this context of work, right? And some of the challenges you face, some of the outcomes you want to.
Prateek Oberoi   1:48Mhm.
Kaushik B   1:52achieve and then the product features that we think will help you achieve this. So we just want your, like, you know, quick review on these pointers and just let us know if there's anything that we missed because all of our questions in the upcoming section for this person is based on this understanding.
Prateek Oberoi   2:07Okay, but does level matter? Because, and I don't know, to be honest. We have senior analysts on our team.
Kaushik B   2:14No.Oh.
Prateek Oberoi   2:19Who?which may have a different perception versus what I have because I tend to look more at.a bigger picture versus everything in specific details. So I'm just trying to understand like...Um...
Kaushik B   2:35Sure, okay. No, I think that's, yeah, I don't know, that's also a question for us and maybe we'll take a minute to discuss that. But see, like how we have kind of segregated is that from a personal perspective, one is the analyst perspective, which is the kind of responsibilities here, second is your brand manager, third is your product manager, and 4th is leadership.
Prateek Oberoi   2:36If you have any.
Kaushik B   2:53Let's say now, the other three are very clear, but here, like you said, maybe there are levels to it, but like to ask you back, like how, like what levels are present, like when we say a senior analyst, you, we, you walked us through your responsibility, right? Which basically involves like, you know, getting an experiment or talking to a PM.
Prateek Oberoi   2:54OKOKOK.Mhm.Right.
Kaushik B   3:13then kind of figuring out setting it up and then monitoring it and then creating recommendations based on your understanding and sharing it with them. That is, let's say, your role. So you're saying within your vertical, there are folks who are senior or junior to you who do slightly different things or are them very different things.
Prateek Oberoi   3:20Right.No, they will do similar things, but the magnitude of things may be a little less. So, for example...They might be supporting fewer.versus me who as a senior manager might be supporting more teams, more broader, more critical teams. So.The process remains almost the same. It's just that the responsibilities grow as you increase the level.
Kaushik B   3:52Okay, got it.Noted, so let's like clarify on this, right? So, if you just like, you know, glance through those four responsibilities that we have on the left top, that is essentially the flow of your persona. Like you said, the flow shouldn't change, so the scope might change. If the scope changes, we are OK. That's not a challenge to us, because...
Prateek Oberoi   4:17Right.Yes, exactly. Yes.Yeah, yeah, exactly. Okay.
Kaushik B   4:22you'll end up using the same features, probably the volume of the space at which you use it might change. But I'm assuming the responsibilities laid out there are accurate then, right?
Prateek Oberoi   4:27Yes, exactly.Yes, that's accurate. Yes.
Kaushik B   4:33Yeah, so I think then that's fine. Sowmiya, like, correct me if I'm wrong, but that shouldn't matter, right? The levels, if the scope is all that changed. Sure, yeah, we can jump in. Good. Okay.
Sowmiya S   4:36No, no, that shouldn't matter. Yeah, yeah.Beard.
Prateek Oberoi   4:43And I think the 4th point in challenges.
Sowmiya S   4:47Mm.
Kaushik B   4:47Mhm.
Prateek Oberoi   4:48I don't know how we can avoid that because those are different tools and those will always exist as separate tools. We cannot combine them. So and it's not a constant switching. It's like one time setup in Optimizely and then it's done. We don't touch it again. And then we just rely on Adobe for all the analytics purposes.
Sowmiya S   4:56Jha.Mm.Okay.
Kaushik B   5:13Yes, noted, sure. And I think outcomes, essentially it's primarily these two, but let's forget the outcome. The product features, this is again based on our understanding and our questions are going to be around these features. So is there anything that you feel is missing?
Prateek Oberoi   5:35Um...No, I think this is a good start and I thinkAnother thing could be...Uhh...I mean, just like more details around your.1, which is not just looking for any experiments, but also searching for like...
Sowmiya S   5:54Okay.
Prateek Oberoi   5:57What was the outcome and what was the recommendation?
Kaushik B   6:02No, sure, no, that's good. Yeah, that's user query on how it's kind of broken down. I think we have questions around that that we'll share in a separate thing, but high level better aligned on the features, right? Sure, yeah. I think some of those questions are also the intent of this session is that only kind of to kind of deep dive on all these four things and get closer to what you would expect to.
Prateek Oberoi   6:02And...Exactly.Okay, okay, perfect.Yes, yes.
Kaushik B   6:21have on the app. So yeah, I think it's a good time to jump in Sowmiya. I think we have good on the context here.
Prateek Oberoi   6:22OKOK.
Sowmiya S   6:25Yeah.Yeah, is my screen visible?
Prateek Oberoi   6:41Yes.
Sowmiya S   6:42OK, good. And so, again, Padaki, this is just our only POP to help you, you know, have a visual experience or you know, just build upon this discussion. This will not be a final build. I'm just putting it out over here, so we just, you know, as we work through, we just wanted to understand your thoughts, the friction points that you have, and what is...
Prateek Oberoi   6:57Okay.
Sowmiya S   7:05What expectations in the final solution that we will go direct to?Will that, is that sound right?
Kaushik B   7:16Yeah, no, just to clarify, I think Pratik just saying that this was, I think, a pre-kickoff, like when we're doing requirement gathering high level with your team. I don't know if you're involved, but I think the solutioning team had put this together. So this is the base. We are just using it here as a reference, because when we speak about search feature, for example, verbally, you might not be able to recollect. So we are just.
Sowmiya S   7:17Good.
Kaushik B   7:37Like, you know, make to make it easier for relatability, we are bringing it up, but the disclaimer is that it might significantly change as we get requirements from different personnel and everything, yeah, cool.
Prateek Oberoi   7:38Mhm.Okay. Okay. Okay. Okay. Makes sense.
Sowmiya S   7:50Yeah, I I just get started, but I think just to understand when you come in and you know you search for the previous experiment, right? So, on what scenarios would it primarily trigger you to come here and you know search for an experiment, or is it because a PM will come and ask for a double check to you, or is it gonna be?
Prateek Oberoi   7:59Mhm.
Sowmiya S   8:12on leadership ad hoc, like just trying to understand what scenarios you would be coming here and searching for the past results that's been done.
Prateek Oberoi   8:21I would say it could be a multiple, it could be multiple reasons. Like first, like you said, it could be a product manager who's trying to like create their roadmap or think about their future roadmap and they want to understand if a particular test was conducted in the past.
Sowmiya S   8:30Ohh.Okay.
Prateek Oberoi   8:39or...If any other brand, let's say if, for example, they want to try to run it on Banana, so they want to understand if that test has been run on any other brand other than Banana in the past or not, and...
Sowmiya S   8:53Mhm.
Prateek Oberoi   8:58Another partner could be from the brand side where they can also come and say like, oh, did we do this test in the past? And if yes, what were the findings? Because sometimes what happens, like people keep changing. If let's say someone...
Sowmiya S   9:09Okay.Yeah.
Prateek Oberoi   9:16new, someone new joined the team and they have no knowledge of what happened in the year 2023 or 2022, then they will come back and ask me like, okay, where I can find these tests and if we have done this particular test in the past or not. And sometimes, and sometimes the third possibility could be us looking internally just to understand if.
Sowmiya S   9:29Okay.So, uh, yeah, go ahead.Yeah.
Prateek Oberoi   9:40we have done something similar in the past. Let's say we tested something four years back, but now, you know, like things have changed A lot. Traffic changes a lot, customer behavior changes a lot, and people want to test it again to see if the learnings from the past four years are still valid or not. Then we also go in internally and search in the tool.
Sowmiya S   9:45Okay.
Prateek Oberoi   10:00understand if this test was run or was conducted like in the past, what were the findings? Is it consistent to what we are seeing now or not? So it's possible to run the same test again. It won't be counted as a test.
Sowmiya S   10:07Okay.Okay.
Prateek Oberoi   10:20duplicate because if you're running it after three years or four years, just to validate if things are still the same or not, or if they have improved, then it's actually because.
Sowmiya S   10:29Mhm.
Prateek Oberoi   10:32are things in the retail world are continuously changing. Our website is evolving, the customer behavior is evolving, so they still want to understand if that change is still making the same impact or something.
Sowmiya S   10:35Yeah.Mmh.
Prateek Oberoi   10:45Different needs to be done, so three ways they we can like come here and search for the past test.
Sowmiya S   10:45Okay, got it.Bye.Okay.Understood. So while searching for the experiments, right, you know, you'll go by either the name, the category or the experiment name as in whole. You would be receiving some exhaustive list like, you know, for the past six months if you're trying to filter it out or for the past nine months that you're trying to filter it out.So, we'll be having this exhaustive list of experiments when you want to reach to that one particular experiment you're trying to, you know, see or go through and implement, how do you narrow it down or on what level? If I could say you will be narrowing it down, either it's gonna be brand level, the...Channel or the value stream - like, how does that work?
Prateek Oberoi   11:35Yes, so.And I can explain like how it works in today's world. So whenever we name our test and I can, can I share my screen for a minute so that it's easier for you to understand.
Sowmiya S   11:41Okay.Yeah, sure, sure, sure, yeah.Yeah.
Prateek Oberoi   11:57Okay.So, you see my screen?
Sowmiya S   12:01Yeah, I can see.
Prateek Oberoi   12:02Okay, so in today's world, this is how we name our test. We give like a brand name in front of it.
Sowmiya S   12:09Mhm.
Prateek Oberoi   12:09So, Bronga means all brands, P.R. Gap.
Sowmiya S   12:12Okay.
Prateek Oberoi   12:14Old Navy.
Sowmiya S   12:16Mm.
Prateek Oberoi   12:16So you can see for which brand this test has been running, and then definitely there is a name. Now name can be very tricky because...
Sowmiya S   12:18Yeah.KS.Mhm.Yeah.
Prateek Oberoi   12:46It can be show hide sister brand universal bar.
Sowmiya S   12:50Okay.
Prateek Oberoi   12:51So people can name it differently. So definitely.Like keeping a consistent naming is hard because there are so many people involved and the name is decided by the person who might be initiating the test or who might be asking for the test. So it's hard to keep it consistent and the naming always follows.
Sowmiya S   12:57Mhm.Singh.
Prateek Oberoi   13:15whatever they decide up front.
Sowmiya S   13:16Mhm.
Prateek Oberoi   13:18So.That's one challenge, but in Confluence, one good part is you can like tag the Confluence pages. So I can add tags here, which can help me to search it at a later point. So for example, I can tag it as Old Navy category page.
Sowmiya S   13:30Mhm.Okay.
Prateek Oberoi   13:40facet test, something like that, like naming or the keywords that I might look for or people might look for when they will search for it. And when you search for it in Confluence, based on those keywords, you can narrow down. So that's one way. Another way is if you know like which year the test was running, then we have things by year. We can also search.
Sowmiya S   13:44Mhm.
Kaushik B   13:55Yeah.
Nilim Borah   13:56But.
Prateek Oberoi   14:03in that respective years folder to see if something with a similar name exists or not. So there are different ways. Again, like I said, because the namings are not consistent, sometimes it does take one or two trials to see if we have filtered out all the possibilities.
Sowmiya S   14:09Mhm.
Prateek Oberoi   14:24before saying that this hasn't happened in the past or we found it and these were the findings.
Sowmiya S   14:24Mm.
Nilim Borah   14:30A Padaki, I have a question here. So I understand, let's say your naming conventions are not consistent, but so do you in that case enforce this that where everyone has to make sure that they're adding the tags for all the conference pages? Is that been enforced?
Prateek Oberoi   14:32Yeah.No, no, it's not. It's up to the person who's creating the page.So.
Nilim Borah   14:52OK.
Kaushik B   14:52No, no, but the brand name in the beginning, that's mandated, right? Like...
Prateek Oberoi   14:57We try to, but you will see here test without brand names too, like this one.
Sowmiya S   15:03Okay.
Kaushik B   15:03No, we're just looking for my tag data.
Prateek Oberoi   15:03So, but you for majority of the tests, yeah, for the majority of the tests, you will see the name. But there will be like few in between.
Kaushik B   15:09Okay.
Prateek Oberoi   15:12Like this one.
Kaushik B   15:14Sure, and the tags that you mentioned are added by the people who create the contact page, or like you said, you mostly do it when you're kind of going back in.
Sowmiya S   15:15Yeah.
Prateek Oberoi   15:22Like the person who creates the confluence result page.
Kaushik B   15:24Okay.Sure, and it's like a Jira thing only, so it will help you kind of search for it quickly. Sure, got it. I think this helps.
Prateek Oberoi   15:30Yeah, yeah, exactly. Ohh, so it's right here.Add labels.So I can add labels here, like for example, this is old name.
Sowmiya S   15:45Mhm.
Athul Babu   15:46I think we'll have some of these filters right at the search at the top.
Prateek Oberoi   15:46And then...
Athul Babu   15:52So we will post this call, we probably share an Excel file to get like a deeper understanding of what are the filters that you need while searching in the app. But those are like low priority questions which we can follow up with email. So we'll just go ahead with the next question.
Prateek Oberoi   16:07Okay.Okay, perfect.
Sowmiya S   16:10Yeah, got it. Let me pull up my screen.
Athul Babu   16:11Ops.
Sowmiya S   16:21So yeah, my follow up question to that was, currently you are searching for these experiments in a particular way, right? If you could do it a little bit differently, you know, in a way that you would feel sort of an order team. If I could see any way, if you could suggest, like say for example,Experiments on which has won a particular AOB in the past six months, so this is very detailed, right? So if you could run a search in the tool that we are going to build up, how it would be the ideal way if you would want to have the search to be done.
Prateek Oberoi   17:00I think the best way for me would be to...Get.the best results with the minimal wording.
Sowmiya S   17:10Yeah.
Prateek Oberoi   17:11Because.Let's say if there's a person who's like outside our team, they may not know each and every details like you said.
