"#","Category","Question","Answer"
"1","Agentic AI","Why an ADK ""agent"" at all if VAIS already does retrieval + synthesis in one :answer call — what is the agent actually deciding?","Phase 1 the agent is deliberately thin: it owns five versioned skills (generate_answer, format_citations, record_feedback, list_sessions, delete_session), each with its own golden-eval slice so we can swap or A/B individual steps without redeploying the Web App. The decision surface widens in Phase 2, where the same agent routes between VAIS (unstructured Confluence Q&A) and the BigQuery MCP tool (structured experiment KPIs from v_experiment_kpis) based on intent classification. Keeping ADK in from day one means we pay the abstraction cost once, not at the moment we add the second tool."
"2","Agentic AI","How do you bound agent behaviour — max tool calls per turn, max tokens, runaway-loop protection, and per-turn cost ceiling?","Four layers. (1) ADK config caps max steps and per-step timeout per skill. (2) Per-call token caps on every Vertex AI Model Garden invocation, with usageMetadata.{prompt,candidates}TokenCount logged as OTel attributes llm_tokens_in / llm_tokens_out / model_id / skill_name. (3) Cloud Monitoring alert policy on llm_tokens_out rate-of-change fires before a runaway loop becomes expensive. (4) Cloud Billing line-item budgets on Discovery Engine + Vertex AI provide the absolute backstop. Per-turn cost is observable in the gap_genai/llm_cost_usd log-based metric on the finance dashboard."
"3","Agentic AI","How do you evaluate the agent (trajectory / tool-choice quality), not just the final answer?","Vertex AI Evaluation Service runs weekly against a golden set with two axes: answer quality per skill (faithfulness, groundedness, citation correctness) and trajectory quality (did the agent pick the right skill / tool sequence). Results land in BigQuery eval_runs, partitioned daily, and feed a regression dashboard. Each skill has its own golden slice so a regression in format_citations does not get masked by a healthy generate_answer score. The eval set is owned by the product team and refreshed monthly from real thumbs-down feedback events."
"4","Agentic AI","What is the multi-tool roadmap — when does the agent move beyond a single :answer call, and how do you keep latency + cost predictable as tools are added?","Phase 2 adds the BigQuery MCP tool (Backend → bigquery.googleapis.com/mcp → authorized view v_experiment_kpis) for structured KPI questions, and the multimodal image-retrieval tool once the AR-4 spike completes. New tools land behind feature flags in app_config.skill_registry and ship dark first; we promote them only when the trajectory eval shows the router picks them correctly above threshold. Per-skill SLOs (latency p95, cost per call) are tracked in Cloud Monitoring so a slow new tool cannot silently regress the overall p95."
"5","Agentic AI","What are the guardrails for prompt injection from Confluence content, jailbreaks, and PII / IP leakage in the agent context window?","Five controls. (1) The Exporter uses a read-only service-account PAT (AR-1) — the agent has no write path back to Confluence, so injected ""edit this page"" instructions are inert. (2) VAIS grounded synthesis only emits text supported by retrieved citations, so off-corpus jailbreaks have nowhere to ground. (3) ACL tags are carried per page from Confluence into VAIS metadata filters, so users cannot retrieve pages they cannot see in Confluence. (4) Phase 1 is text-only (AR-2) — no OCR of embedded images, which closes the image-based injection vector until Phase 2. (5) Every skill invocation is traced in OTel with skill_name + input/output, giving us a full audit trail in Cloud Logging."
"6","Architecture","Phase 1 is text-only — what is the recall hit on Confluence pages that lean on diagrams, tables, and attachments, and when does Phase-2 close that gap?","Tables render to HTML and ARE indexed; the gap is embedded images, diagrams, and binary attachments (AR-2). AR-4 is an in-flight spike measuring how VAIS :answer behaves on pages with embedded images out-of-the-box. AR-3 is the Phase-2 plan: save images to GCS during export, generate captions / embeddings, and add a multimodal retrieval tool the agent can call. Pages that are 100% diagram-driven (a small minority of the Test & Learn COE space) are the at-risk set; we will publish the recall delta from the AR-4 spike before pilot."
"7","Architecture","Weekly ingest delta — how stale can an answer be, and what is the manual override path if a high-priority page changes?","Default freshness SLA is 7 days, driven by the weekly Cloud Scheduler cron → Confluence Exporter → GCS → Reindex Trigger Cloud Run Job → VAIS importDocuments chain. Ad-hoc refresh: an authorised operator triggers the Reindex Cloud Run Job manually against a single GCS prefix; end-to-end this is on the order of minutes for a single page. GCS versioning is ON so we can roll back a bad export. We are committing 7-day default / 1-hour ad-hoc as the published SLA."
"8","Architecture","ACL — when a Confluence page permission changes, how fast does the answer engine respect it, and how is page-level access enforced at query time?","The Exporter emits per-page ACL tags into VAIS document metadata; at query time the Backend passes the user's group set as a metadata filter on :answer, so VAIS only returns chunks the user is permitted to see in Confluence. Worst-case ACL lag = next weekly reindex (7 days), mitigated by the same ad-hoc reindex trigger described above. Defence in depth: the Backend also enforces an owner-gate on userPseudoId for the /sessions surface so users cannot enumerate other users' chat history."
"9","Architecture","Cost trajectory — what is the unit economics at pilot vs steady-state? VAIS Enterprise + LLM add-on tier, plus Vertex AI tokens — show me the $/query and the alerting envelope.","Cost_Estimate.md captures the full breakdown: VAIS Enterprise + LLM add-on tier per query, plus Vertex AI Model Garden tokens for the agent's Gemini calls, plus negligible GCS / BigQuery / Cloud Run line items. Observability: four log-based metrics — gap_genai/llm_tokens_in, gap_genai/llm_tokens_out, gap_genai/llm_calls, gap_genai/llm_cost_usd — feed the finance dashboard. Alerting envelope: Cloud Billing line-item budgets on Discovery Engine + Vertex AI with tiered email alerts at 50/80/100% of monthly forecast, plus a Cloud Monitoring alert on llm_tokens_out rate-of-change for runaway-loop detection (AR-6)."
"10","Architecture","Vendor lock-in / DR — if VAIS has a regional outage or Google deprecates :answer v1beta, what is the RTO/RPO and the exit path?","RPO is effectively zero for the corpus: the source of truth is GCS corpus-html (CMEK, versioning ON), which is regionally replicated and re-indexable into any retriever. BigQuery gap_genai_app holds product data with daily partitioning and standard cross-region backup. RTO for a VAIS regional outage is the time to fail over to a second VAIS engine in another region (hours, scripted). Strategic exit: the skill abstraction means generate_answer can be re-implemented against Vertex AI Vector Search + Gemini directly with no change to the Web App contract; we have a working prototype of that path from the variant-evaluation phase."
